planet ; order ; name
1 ; 1 ; null
2 ; 1 ; null
3 ; 1 ; moon
4 ; 1 ; deimos
4 ; 2 ; phobos
5 ; 5 ; io
5 ; 6 ; europa
5 ; 7 ; ganymede
5 ; 8 ; callisto
6 ; 10 ; mimas
6 ; 14 ; enceladus
6 ; 15 ; tethys
6 ; 18 ; dione
6 ; 21 ; rhea
6 ; 22 ; titan
6 ; 24 ; lapetus
7 ; 14 ; miranda
7 ; 15 ; ariel
7 ; 16 ; umbriel
7 ; 17 ; titania
7 ; 18 ; oberon
8 ; 8 ; triton
